ID	Length	Source
1241	16	676
1241	9	681
1242	11	697
1243	7	841
1243	11	841
1245	8	697
1246	21	692
1248	4	862
1248	6	862
1249	16	643
1251	12	681
1251	8	850
1252	12	611
1253	12	780
1253	20	500
1254	5	850
1255	14	675
1255	10	840
1255	17	774
1258	6	602
1261	23	645
1261	25	764
1261	12	648
1261	7	643
1262	21	676
1262	19	681
1262	10	681
1262	17	681
1263	11	681
1263	23	863
1263	11	675
1263	10	850
1264	53	670
1264	31	675
1265	85	521
1266	18	805
1266	38	664
1266	13	850
1266	7	850
1267	118	532
1268	21	611
1268	13	660
1268	7	850
1268	5	850
1268	9	850
1268	10	850
1268	6	681
1269	113	660
1270	43	783
1270	29	783
1270	9	850
1271	254	509
1272	13	601
1272	38	611
1272	17	773
1272	14	611
1272	14	600
1272	14	773
1273	259	771
1275	44	771
1275	63	774
1275	10	512
1275	15	774
1275	15	774
1276	30	862
1276	33	862
1276	13	697
1280	7	850
1282	24	500
1282	24	863
1283	26	681
1284	22	765
1284	2	850
1285	20	697
1285	11	831
1285	12	831
1285	13	697
1285	14	831
1285	14	831
1286	13	600
1286	15	676
1286	13	500
1288	7	697
1288	2	681
1289	6	697
1292	18	676
1293	11	676
1293	14	702
1294	5	863
1294	9	861
