ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
306	039	01	N/A no other source
307	360	71	N/A no other source
307	271	03	N/A no other source
307	371	52	N/A no other source
307	271	52	N/A no other source
309	040	71	Iraqi State TV/ media
309	042	57	Iraqi State TV/ media
309	356	53	Can’t determine
309	371	52	N/A no other source
309	042	05	Can’t determine
309	114	57	Iraqi State TV/ media
309	056	71	N/A no other source
310	279	01	N/A no other source
311	290	11	N/A no other source
311	280	11	N/A no other source
312	300	09	N/A no other source
312	070	09	N/A no other source
312	231	15	N/A no other source
312	230	74	N/A no other source
312	279	09	N/A no other source
314	242	53	N/A no other source
315	166	74	Can’t determine
315	280	11	N/A no other source
315	117	65	N/A no other source
315	340	66	N/A no other source
315	180	66	N/A no other source
316	119	74	N/A no other source
317	115	59	Al Jazeera
318	240	53	N/A no other source
318	280	11	N/A no other source
318	054	02	N/A no other source
318	360	71	N/A no other source
318	290	11	N/A no other source
320	140	72	N/A no other source
320	371	52	N/A no other source
320	054	72	N/A no other source
321	280	11	N/A no other source
322	241	53	N/A no other source
322	037	02	N/A no other source
322	025	01	N/A no other source
322	110	74	N/A no other source
322	026	01	N/A no other source
322	135	01	N/A no other source
322	364	52	N/A no other source
320	241	53	N/A no other source
320	002	71	N/A no other source
320	007	71	N/A no other source
320	114	13	Iraqi State TV/ media
320	354	13	Iraqi State TV/ media
323	241	53	N/A no other source
323	038	03	N/A no other source
323	372	52	Al Jazeera
323	362	52	Al Jazeera
323	071	03	N/A no other source
323	062	01	N/A no other source
323	062	03	N/A no other source
323	018	03	N/A no other source
325	119	53	N/A no other source
326	360	71	N/A no other source
326	271	52	N/A no other source
327	057	03	N/A no other source
327	056	03	N/A no other source
327	063	06	N/A no other source
327	354	13	N/A no other source
327	135	03	N/A no other source
327	372	52	N/A no other source
327	371	52	N/A no other source
327	370	52	N/A no other source
328	241	53	N/A no other source
328	033	74	N/A no other source
328	002	01	N/A no other source
328	059	75	N/A no other source
328	034	05	N/A no other source
328	071	01	N/A no other source
328	034	01	N/A no other source
329	166	66	Can’t determine
330	290	11	N/A no other source
331	300	09	N/A no other source
331	279	09	N/A no other source
331	062	01	N/A no other source
331	026	01	N/A no other source
333	054	02	N/A no other source
334	038	22	Can’t determine
335	230	71	N/A no other source
335	300	09	N/A no other source
335	290	11	N/A no other source
335	070	71	N/A no other source
335	999	74	N/A no other source
338	241	53	N/A no other source
338	353	03	N/A no other source
338	372	52	N/A no other source
338	018	03	N/A no other source
338	062	03	N/A no other source
338	056	03	N/A no other source
338	018	03	UK Military/ Government
338	016	03	N/A no other source
338	181	74	N/A no other source
338	144	52	N/A no other source
338	017	74	N/A no other source
339	241	53	N/A no other source
339	039	01	Other US media source
339	034	01	N/A no other source
339	002	01	N/A no other source
339	059	07	N/A no other source
340	241	53	N/A no other source
340	024	01	N/A no other source
340	054	02	N/A no other source
341	172	22	N/A no other source
342	241	53	N/A no other source
342	054	74	N/A no other source
342	034	01	N/A no other source
342	032	01	N/A no other source
342	062	01	N/A no other source
342	371	52	N/A no other source
342	053	01	N/A no other source
343	054	71	Abu Dhabi
343	054	71	Al Jazeera
343	054	72	N/A no other source
344	241	53	N/A no other source
344	062	01	N/A no other source
344	042	05	N/A no other source
344	053	01	N/A no other source
344	284	09	N/A no other source
345	200	37	N/A no other source
345	201	39	N/A no other source
345	203	41	N/A no other source
346	116	63	Other foreign reporter
