Story ID	Ranking	Subject (Whom)	Tone
181	P	620	Straight
181	P	640	Straight
181	S	649	Straight
182	M	681	Straight
182	M	697	Straight
182	P	620	Straight
183	M	681	Straight
183	M	697	Straight
183	S	649	Straight
183	S	850	Straight
184	M	681	Straight
184	P	697	Straight
184	S	649	Straight
185	M	681	Straight
185	M	649	Straight
185	S	680	Straight
186	S	600	Straight
186	P	845	Straight
186	M	640	Straight
186	P	649	Straight
186	M	612	Straight
186	P	998	Straight
186	P	901	Straight
187	M	697	Straight
187	M	681	Straight
187	S	692	Straight
188	M	739	Straight
188	S	730	Straight
188	P	699	Straight
188	S	731	Straight
188	P	791	Straight
188	S	736	Straight
189	M	730	Straight
189	S	541	Straight
189	S	500	Straight
189	P	600	Straight
189	S	920	Straight
189	S	731	Straight
189	P	697	Straight
189	P	681	Straight
189	P	783	Straight
189	P	850	Straight
189	P	864	Straight
190	M	730	Straight
190	P	620	Straight
190	P	645	Straight
190	S	770	Straight
190	S	533	Straight
190	P	697	Straight
190	S	731	Straight
190	P	821	Straight
190	P	623	Straight
191	M	925	Straight
191	P	832	Straight
191	P	868	Straight
191	S	830	Straight
191	M	620	Straight
191	S	730	Straight
191	P	731	Straight
191	P	804	Straight
191	P	803	Straight
191	P	526	Straight
192	M	863	Straight
192	S	649	Straight
192	S	906	Straight
193	M	640	Straight
193	P	658	Straight
193	S	901	Straight
193	P	641	Straight
193	P	645	Straight
194	M	681	Straight
194	M	697	Straight
194	S	640	Straight
194	S	850	Straight
194	M	649	Deflating
194	P	703	Straight
195	M	681	Straight
195	S	649	Straight
195	P	640	Straight
196	M	697	Straight
196	M	681	Straight
196	P	850	Straight
196	P	640	Straight
196	S	612	Straight
197	M	645	Straight
197	P	697	Straight
197	P	681	Straight
197	P	526	Straight
197	P	620	Straight
197	S	640	Straight
197	P	901	Straight
197	P	658	Straight
197	P	641	Straight
197	M	850	Straight
197	P	906	Straight
197	S	765	Straight
197	S	656	Straight
198	P	620	Straight
198	P	526	Straight
199	M	681	Straight
199	S	901	Mixed
199	M	649	Straight
199	M	697	Straight
199	S	850	Straight
199	P	903	Straight
199	P	765	Straight
199	P	640	Straight
200	M	681	Straight
200	S	677	Straight
200	S	649	Straight
200	M	602	Straight
200	S	880	Straight
200	M	600	Straight
200	P	612	Straight
200	P	841	Straight
200	S	674	Straight
200	P	840	Straight
201	M	697	Straight
201	M	681	Straight
201	S	692	Straight
201	S	773	Straight
201	S	770	Straight
201	S	999	Straight
201	P	531	Straight
201	S	522	Straight
202	M	672	Straight
202	S	677	Straight
202	M	697	Straight
202	M	681	Straight
202	P	651	Straight
202	P	863	Straight
203	S	652	Straight
203	S	681	Straight
203	M	649	Straight
203	S	850	Straight
203	P	640	Straight
203	M	645	Straight
203	S	697	Straight
203	M	643	Straight
203	P	646	Straight
203	P	651	Straight
204	S	649	Straight
204	M	645	Mixed
204	P	693	Mixed
204	S	677	Mixed
204	S	651	Straight
205	S	600	Mixed
205	M	697	Straight
205	S	681	Straight
205	S	640	Straight
205	S	649	Straight
205	S	526	Mixed
205	S	850	Straight
205	P	501	Straight
206	P	672	Straight
206	M	649	Straight
206	M	697	Straight
206	P	681	Straight
207	P	645	Straight
207	P	864	Straight
207	P	881	Straight
207	P	522	Straight
207	P	903	Straight
207	P	906	Straight
207	S	863	Straight
207	S	649	Straight
207	S	681	Straight
207	S	697	Straight
207	S	850	Straight
207	S	861	Straight
208	P	500	Straight
208	M	697	Straight
208	S	681	Straight
208	S	649	Straight
208	P	831	Straight
208	P	522	Straight
209	M	649	Straight
209	M	681	Straight
209	P	677	Straight
209	M	850	Straight
209	M	697	Straight
209	P	702	Straight
209	S	692	Straight
209	P	855	Straight
209	P	645	Straight
209	P	764	Straight
210	M	681	Straight
210	M	649	Straight
210	P	640	Straight
211	M	500	Straight
211	S	681	Straight
211	S	649	Straight
212	M	681	Straight
212	M	697	Straight
